object_id,provenience,creator,date_made,materials,description,length,width
1,China | Guizhou Province | Taijiang County | Shidong Town | Tanglong Village,Tongying Wu's Mother,1978-1985,Silk,"Belt.  Part of wedding outfit.  Embroidered strip of cloth of pink, red, blue, white, orange, green native provincial made silk.  Woven geometric pattern.  Tassles at each end.  Made by Tonying Wu's mother.",192 cm,8 cm
2,China | Guizhou Province | Taijiang County | Shidong Town | Tanglong Village,Tongying Wu,1978-1985,Cotton,"Pants worn with wedding outfit.  Indigo dyed.  Stiff, leathery, shiny cloth.  Indigo cotton waistband.",81 cm,75 cm
3,China | Tibet | Yunnan | Derge | Sikian,unknown,15th Century - 1951,Paper | Ink,Cartoon for a painting made by wood block print on coarse native paper.  Probably printed in Derge.  Image of a high lama incarnation on a lotus throne.,unknown,unknown
4,China | Guizhou Province | Youngjiang County | Shidong Town | Tanglong Village,Tongying Wu,1978-1985,Cotton | Silk,"Wedding jacket made and worn by Tongying Wu, Miao textile artist. These jackets were worn for weddings and then later for special occasions. Black cotton with elaborately embroidered strips on neckline and shoulders. Bright colors, especially red. Embroidered images of people, serpents, bats, elephants, and other animals. Cloth is stiff. Native provincial made cotton and silk.",115 cm,85 cm
5,China | Guizhou Province | Youngjiang County | Shidong Town | Tanglong Village,Tongying Wu,1978-1985,Cotton | Silk,"Wedding apron or skirt made and worn by Tongying Wu, Miao textile artist.  These aprons were worn for weddings and then later for special occasions.  Rectangular apron made of four strips of cloth sewn together:  top indigo stiff material; central embroidered white cotton panel with fringe; and two blue silk embroidered side panels. Bright colors, with alot of red.  Embroidered images of dog/lion, people, butterflies, a half-human/half-serpent, goldfish, bats and serpents or snakes on central panel.  Side panels with flowers, phoenixes and other small rodents.  Native provincial hand woven cotton and silk.",73.5 cm,62.5 cm
6,China | Henan | Anyang | Xiaotun,unknown,Shang Dynasty,Bone,"Fragment of bone with ancient Chinese characters inscribed on it.  Said to be one of a collection of oracle bones obtained by Langdon Warner in 1913-14 at the village of Xiaotun at the site of Anyang. Shang Dynasty kings used oracle bones as a form of divination to seek supernatural guidance about important political, social, and personal issues. Usually created from cattle shoulder blades and the underside of turtle shells, the bones were smoothed and then heated until they cracked. By interpreting the cracks, royal diviners believed they were receiving insight that allowed them to answer questions about the future. In many cases, a record of the reading was written on the bones. These texts provide invaluable information about early Chinese religion, politics, and elite life.",unknown,2.2 cm
7,China | Beijing | Taimiao | Temple of Ancestors,unknown,12/21/1648,Silk | Gold Thread,Small rectangular cloth pad of yellow silk brocade with floral motif in gold thread.  One of five pads to be placed between the jade pages of 79-23-1A-J.,unknown,12.8 cm
8,China | Beijing | Taimiao | Temple of Ancestors,unknown,12/21/1648,Silk | Gold Thread,Small rectangular cloth pad of yellow silk brocade with floral motif in gold thread.  One of five pads to be placed between the jade pages of 79-23-1A-J.,unknown,12.8 cm
9,China | Beijing | Taimiao | Temple of Ancestors,unknown,12/21/1648,Silk | Gold Thread,Small rectangular cloth pad of yellow silk brocade with floral motif in gold thread.  One of five pads to be placed between the jade pages of 79-23-1A-J.,unknown,12.8 cm
10,China | Beijing | Taimiao | Temple of Ancestors,unknown,12/21/1648,Silk | Gold Thread,Small rectangular cloth pad of yellow silk brocade with floral motif in gold thread.  One of five pads to be placed between the jade pages of 79-23-1A-J.,unknown,12.8 cm
11,China | Beijing | Taimiao | Temple of Ancestors,unknown,12/21/1648,Silk | Gold Thread,Small rectangular cloth pad of yellow silk brocade with floral motif in gold thread.  One of five pads to be placed between the jade pages of 79-23-1A-J.,unknown,12.8 cm
12,China | Beijing | Taimiao | Temple of Ancestors,unknown,12/21/1648,Silk | Gold Thread,Rectangular cloth pad of yellow silk brocade with floral motif in gold thread.,40 cm,26.5 cm
13,China | Beijing | Taimiao | Temple of Ancestors,unknown,12/21/1648,Silk | Gold Thread,Square cloth wrapper of patches of yellow cloth with printed gold designs of circular medallion with dragon at center and four corner motifs.  Backing is plain yellow silk.  At one corner a tie of yellow silk with gold thread brocade approximately 114 cm in length and 3.5 cm in width is attached.,80 cm,78 cm
14,China | Beijing | Taimiao | Temple of Ancestors,unknown,Qing Dynasty,Wood | Gilding,Box for storage of jade tablets.  Gilded with molded decoration of dragons on exterior.,42.2 cm,28 cm
