id,tombstone,title,creation_date,collection,provenance,url,image_web
1,"yellow-glazed bowl, 1505–21. china, jiangxi province, jingdezhen kilns, ming dynasty (1368–1644), zhengde mark and reign (1505–21). porcelain with monochrome yellow glaze; overall: 8 x 18.9 cm (3 1/8 x 7 7/16 in.). the cleveland museum of art, nancy f. and joseph p. keithley collection gift 2020.180",yellow-glazed bowl,1505–21,china - ming dynasty,"(marchant, london, uk, sold to mr. and mrs. joseph p. keithley) (?–2011); nancy f. and joseph p. keithley, cleveland, oh, given to the cleveland museum of art (2011–2020); the cleveland museum of art, cleveland, oh (2020–)",https://clevelandart.org/art/2020.180,https://openaccess-cdn.clevelandart.org/2020.180/2020.180_web.jpg
2,"baluster jar and cover, 1600–1650. china, jiangxi province, jingdezhen kilns, ming dynasty (1368–1644) or qing dynasty (1644–1911). porcelain with wucai (five-color) enamels; overall: 36.8 x 23.8 cm (14 1/2 x 9 3/8 in.). the cleveland museum of art, nancy f. and joseph p. keithley collection gift 2020.179",baluster jar and cover,1600–1650,china - ming dynasty,"(marchant, london, uk, sold to mr. and mrs. joseph p. keithley) (?by 1998–2011); nancy f. and joseph p. keithley, cleveland, oh, given to the cleveland museum of art (2011–2020); the cleveland museum of art, cleveland, oh (2020–)",https://clevelandart.org/art/2020.179,https://openaccess-cdn.clevelandart.org/2020.179/2020.179_web.jpg
3,"dish with carved floral design, 1100s–1200s. south china, southern song dynasty (1127–1279). porcelain with pale bluish-white (qingbai) glaze; overall: 4.5 x 18 cm (1 3/4 x 7 1/16 in.). the cleveland museum of art, nancy f. and joseph p. keithley collection gift 2020.183",dish with carved floral design,1100s–1200s,china - song dynasty,"(k.y. fine art, hong kong, sold to mr. and mrs. joseph p. keithley) (?–2010); nancy f. and joseph p. keithley, cleveland, oh, given to the cleveland museum of art (2010–2020); the cleveland museum of art, cleveland, oh (2020–)",https://clevelandart.org/art/2020.183,https://openaccess-cdn.clevelandart.org/2020.183/2020.183_web.jpg
4,"globular jar with four loops, 960–1279. china, southern song dynasty (1127-1279). porcelaneous ware of the qingbai type; overall: 15 x 13 cm (5 7/8 x 5 1/8 in.). the cleveland museum of art, nancy f. and joseph p. keithley collection gift 2020.184",globular jar with four loops,960–1279,china - song dynasty,"(k.y. fine art, hong kong, sold to mr. and mrs. joseph p. keithley) (?–2010); nancy f. and joseph p. keithley, cleveland, oh, given to the cleveland museum of art (2010–2020); the cleveland museum of art, cleveland, oh (2020–)",https://clevelandart.org/art/2020.184,https://openaccess-cdn.clevelandart.org/2020.184/2020.184_web.jpg
5,"white-glazed jar with hidden design, 1500s–1600s. china, jiangxi province, jingdezhen kilns, ming dynasty (1368-1644). porcelain with sweet-white (tianbai; 甜白) glaze; overall: 13.9 x 16.4 cm (5 1/2 x 6 7/16 in.). the cleveland museum of art, nancy f. and joseph p. keithley collection gift 2020.185",white-glazed jar with hidden design,1500s–1600s,china - song dynasty,"(k.y. fine art, hong kong, sold to mr. and mrs. joseph p. keithley) (?–2010); nancy f. and joseph p. keithley, cleveland, oh, given to the cleveland museum of art (2010–2020); the cleveland museum of art, cleveland, oh (2020–)",https://clevelandart.org/art/2020.185,https://openaccess-cdn.clevelandart.org/2020.185/2020.185_web.jpg
6,"ding ware bowl of the xing type with bi-disc foot, 907–60. china, henan province, gongxian kilns, five dynasties (907–60). white stoneware with ivory-white glaze; overall: 4.7 x 18.5 cm (1 7/8 x 7 5/16 in.). the cleveland museum of art, nancy f. and joseph p. keithley collection gift 2020.186",ding ware bowl of the xing type with bi-disc foot,907–60,china - five dynasties,"(k.y. fine art, hong kong, sold to mr. and mrs. joseph p. keithley) (?–2010); nancy f. and joseph p. keithley, cleveland, oh, given to the cleveland museum of art (2010–2020); the cleveland museum of art, cleveland, oh (2020–)",https://clevelandart.org/art/2020.186,https://openaccess-cdn.clevelandart.org/2020.186/2020.186_web.jpg
7,"bowl with carved lotus design, 1100s–1300s. china, southern song (1127–1279) to yuan dynasty (1279–1368). stoneware with pale green (celadon) glaze; overall: 6.6 x 15.5 cm (2 5/8 x 6 1/8 in.). the cleveland museum of art, nancy f. and joseph p. keithley collection gift 2020.181",bowl with carved lotus design,1100s–1300s,china - song dynasty,"(k.y. fine art, hong kong, sold to mr. and mrs. joseph p. keithley) (?–2010); nancy f. and joseph p. keithley, cleveland, oh, given to the cleveland museum of art (2010–2020); the cleveland museum of art, cleveland, oh (2020–)",https://clevelandart.org/art/2020.181,https://openaccess-cdn.clevelandart.org/2020.181/2020.181_web.jpg
8,"bowl with carved design, 1100s–1200s. south china, southern song dynasty (1127–1279). porcelain with pale bluish-white (qingbai) glaze; overall: 6.5 x 17.2 cm (2 9/16 x 6 3/4 in.). the cleveland museum of art, nancy f. and joseph p. keithley collection gift 2020.182",bowl with carved design,1100s–1200s,china - song dynasty,"(k.y. fine art, hong kong, sold to mr. and mrs. joseph p. keithley) (?–2010); nancy f. and joseph p. keithley, cleveland, oh, given to the cleveland museum of art (2010–2020); the cleveland museum of art, cleveland, oh (2020–)",https://clevelandart.org/art/2020.182,https://openaccess-cdn.clevelandart.org/2020.182/2020.182_web.jpg
9,"grapevine, 1700s–1800s. china, qing dynasty (1644–1911). hanging scroll; ink on paper; overall: 113 x 40.5 cm (44 1/2 x 15 15/16 in.). the cleveland museum of art, gift from the collection of george gund iii 2015.476",grapevine,1700s–1800s,asian - hanging scroll,"george gund iii [1937–2013], bequest to the cleveland museum of art (?–2015); the cleveland museum of art, cleveland, oh (2015–)",https://clevelandart.org/art/2015.476,https://openaccess-cdn.clevelandart.org/2015.476/2015.476_web.jpg
10,"black-glazed teabowl with incised characters (供御) for “imperial tribute”, 1100s–1200s. china, fujian province, southern song dynasty (1127-1279). brown-glazed stoneware, jian ware; overall: 6.5 x 12 cm (2 9/16 x 4 3/4 in.). the cleveland museum of art, nancy f. and joseph p. keithley collection gift 2020.175",black-glazed teabowl with incised characters (供御) for “imperial tribute”,1100s–1200s,china - song dynasty,"family of grace chu, hong kong (1970–2008); (k.y. fine art, hong kong, sold to mr. and mrs. joseph p. keithley) (2008); nancy f. and joseph p. keithley, cleveland, oh, given to the cleveland museum of art (2008–2020); the cleveland museum of art, cleveland, oh (2020–)",https://clevelandart.org/art/2020.175,https://openaccess-cdn.clevelandart.org/2020.175/2020.175_web.jpg
11,"black glazed teabowl, 1100s–1200s. china, fujian province, southern song dynasty (1127-1279). stoneware with opaque dark brown glaze, jian ware; overall: 5.3 x 14 cm (2 1/16 x 5 1/2 in.). the cleveland museum of art, nancy f. and joseph p. keithley collection gift 2020.176",black glazed teabowl,1100s–1200s,china - song dynasty,"family of grace chu, hong kong (1970–2008); (k.y. fine art, hong kong, sold to mr. and mrs. joseph p. keithley) (2008); nancy f. and joseph p. keithley, cleveland, oh, given to the cleveland museum of art (2008–2020); the cleveland museum of art, cleveland, oh (2020–)",https://clevelandart.org/art/2020.176,https://openaccess-cdn.clevelandart.org/2020.176/2020.176_web.jpg
12,"teabowl with tortoiseshell glaze, 1100s–1200s. china, jiangxi province, southern song dynasty (1127-1279). brown-glazed stoneware with ""tortoiseshell"" pattern, jizhou ware; overall: 5.9 x 11.5 cm (2 5/16 x 4 1/2 in.). the cleveland museum of art, nancy f. and joseph p. keithley collection gift 2020.177",teabowl with tortoiseshell glaze,1100s–1200s,china - song dynasty,"family of grace chu, hong kong (1970–2008); (k.y. fine art, hong kong, sold to mr. and mrs. joseph p. keithley) (2008); nancy f. and joseph p. keithley, cleveland, oh, given to the cleveland museum of art (2008–2020); the cleveland museum of art, cleveland, oh (2020–)",https://clevelandart.org/art/2020.177,https://openaccess-cdn.clevelandart.org/2020.177/2020.177_web.jpg
13,"pair of owl-shaped jars, 206 bce–9 ce. china, henan province, western han dynasty (206 bce–8 ce). amber-brown glazed low-fired pottery; overall: 19 x 13.8 x 11.8 cm (7 1/2 x 5 7/16 x 4 5/8 in.). the cleveland museum of art, nancy f. and joseph p. keithley collection gift 2020.178",pair of owl-shaped jars,206 bce–9 ce,china - han dynasty,"purchased by the parents of yves bonan, by descent to yves bonan, venice, italy (1970s–2008); (k.y. fine art, hong kong, sold to mr. and mrs. joseph p. keithley) (2008); nancy f. and joseph p. keithley, cleveland, oh, given to the cleveland museum of art (2008–2020); the cleveland museum of art, cleveland, oh (2020–)",https://clevelandart.org/art/2020.178,https://openaccess-cdn.clevelandart.org/2020.178/2020.178_web.jpg
14,"lobed vase with underglaze cobalt blue decoration, 1661–1722. china, jiangxi province, jingdezhen kilns, qing dynasty (1644-1911), kangxi reign (1661-1722). porcelain with underglaze cobalt blue decoration; overall: 20.4 x 12.2 cm (8 1/16 x 4 13/16 in.). the cleveland museum of art, nancy f. and joseph p. keithley collection gift 2020.174",lobed vase with underglaze cobalt blue decoration,1661–1722,china - qing dynasty,"(k.y. fine art, hong kong, sold to mr. and mrs. joseph p. keithley) (?–2004); nancy f. and joseph p. keithley, cleveland, oh, given to the cleveland museum of art (2004–2020); the cleveland museum of art, cleveland, oh (2020–)",https://clevelandart.org/art/2020.174,https://openaccess-cdn.clevelandart.org/2020.174/2020.174_web.jpg
15,"a great river (yi tiao dahe) (from series repetitions), 1986. xu bing (chinese, b. 1955). woodcut print with ink on paper; image: 53.5 x 73.7 cm (21 1/16 x 29 in.); sheet: 66.7 x 91.2 cm (26 1/4 x 35 7/8 in.). the cleveland museum of art, nancy f. and joseph p. keithley collection gift 2020.160",a great river (yi tiao dahe) (from series repetitions),1986,pr - woodcut,"(booklyn, inc., brooklyn, ny, sold to nancy f. and joseph p. keithley) (?–2015); nancy f. and joseph p. keithley, shaker heights, oh, given to the cleveland museum of art (2015–2020); the cleveland museum of art, cleveland, oh (2020–)",https://clevelandart.org/art/2020.160,no_image
16,"bronze dish, before 1915. china. bronze; overall: 7.7 cm (3 1/16 in.). the cleveland museum of art, gift of the john huntington art and polytechnic trust 1915.698",bronze dish,before 1915,chinese art,"john huntington art and polytechnic trust, cleveland, oh, given to the cleveland museum of art (?-1915); the cleveland museum of art, cleveland, oh (1915-)",https://clevelandart.org/art/1915.698,https://openaccess-cdn.clevelandart.org/1915.698/1915.698_web.jpg
17,"vase, 1736–95. china, qing dynasty (1644–1911), qianlong reign (1736–95). porcelain; overall: 75 cm (29 1/2 in.). the cleveland museum of art, gift of mr. and mrs. ralph king 1914.535",vase,1736–95,china - qing dynasty,[],https://clevelandart.org/art/1914.535,https://openaccess-cdn.clevelandart.org/1914.535/1914.535_web.jpg
18,"stele with sakyamuni and bodhisattvas, 537. china, hebei province, eastern wei dynasty (534-550). limestone; overall: 77.5 x 44.4 cm (30 1/2 x 17 1/2 in.). the cleveland museum of art, gift of the john huntington art and polytechnic trust 1914.567",stele with sakyamuni and bodhisattvas,537,china - northern dynasties,"(edgar worch [1880–1972], new york, ny and berlin, germany, sold to the cleveland museum of art) (?–1914); the cleveland museum of art (1914-)",https://clevelandart.org/art/1914.567,https://openaccess-cdn.clevelandart.org/1914.567/1914.567_web.jpg
19,"landscape, 1632–1717. wang hui (chinese, 1632–1717). hanging scroll, color on silk; overall: 200.9 x 99.2 cm (79 1/8 x 39 1/16 in.). the cleveland museum of art, gift of charles l. freer 1915.105",landscape,1632–1717,asian - hanging scroll,"charles l. freer [1854-1919], detroit, mi, given to the cleveland museum of art (?-1915); the cleveland museum of art, cleveland, oh (1915-)",https://clevelandart.org/art/1915.105,https://openaccess-cdn.clevelandart.org/1915.105/1915.105_web.jpg
