object_id,title,link,image,object_type,current_location,culture,provenience,creator,date_made,section,materials,technique,description,length,width,credit_line
97-12-4D,Wedding Belt,https://www.penn.museum/collections/object/269848,https://www.penn.museum/collections/assets/300/601637.jpg,,Collections Storage,Shidong,China | Guizhou Province | Taijiang County | Shidong Town | Tanglong Village,Tongying Wu's Mother,1978-1985,Asian,Silk,Woven,"Belt.  Part of wedding outfit.  Embroidered strip of cloth of pink, red, blue, white, orange, green native provincial made silk.  Woven geometric pattern.  Tassles at each end.  Made by Tonying Wu's mother.",192 cm,8 cm,"Purchased from Tongying Wu, 1997"
97-12-4B,Pants,https://www.penn.museum/collections/object/215667,https://www.penn.museum/collections/assets/300/600714.jpg,,Collections Storage,Shidong,China | Guizhou Province | Taijiang County | Shidong Town | Tanglong Village,Tongying Wu,1978-1985,Asian,Cotton,Woven | Dyed,"Pants worn with wedding outfit.  Indigo dyed.  Stiff, leathery, shiny cloth.  Indigo cotton waistband.",81 cm,75 cm,"Purchased from Tongying Wu, 1997"
51-41-16,Cartoon,https://www.penn.museum/collections/object/156199,https://www.penn.museum/collections/assets/300/46347.jpg,,Collections Storage,Tibetan | Buddhist | Lamaism,China | Tibet | Yunnan | Derge | Sikian,,15th Century - 1951,Asian,Paper | Ink,,Cartoon for a painting made by wood block print on coarse native paper.  Probably printed in Derge.  Image of a high lama incarnation on a lotus throne.,,,"Gift of Schuyler V. R. Cammann, 1951"
97-12-4A,Wedding Jacket,https://www.penn.museum/collections/object/93862,https://www.penn.museum/collections/assets/300/600890.jpg,,Collections Storage,Shidong,China | Guizhou Province | Youngjiang County | Shidong Town | Tanglong Village,Tongying Wu,1978-1985,Asian,Cotton | Silk,Embroidered | Woven,"Wedding jacket made and worn by Tongying Wu, Miao textile artist. These jackets were worn for weddings and then later for special occasions. Black cotton with elaborately embroidered strips on neckline and shoulders. Bright colors, especially red. Embroidered images of people, serpents, bats, elephants, and other animals. Cloth is stiff. Native provincial made cotton and silk.",115 cm,85 cm,"Purchased from Tongying Wu, 1997"
97-12-4C,Wedding Apron,https://www.penn.museum/collections/object/257062,https://www.penn.museum/collections/assets/300/600715.jpg,,Collections Storage,Shidong,China | Guizhou Province | Youngjiang County | Shidong Town | Tanglong Village,Tongying Wu,1978-1985,Asian,Cotton | Silk,Embroidered | Woven,"Wedding apron or skirt made and worn by Tongying Wu, Miao textile artist.  These aprons were worn for weddings and then later for special occasions.  Rectangular apron made of four strips of cloth sewn together:  top indigo stiff material; central embroidered white cotton panel with fringe; and two blue silk embroidered side panels. Bright colors, with alot of red.  Embroidered images of dog/lion, people, butterflies, a half-human/half-serpent, goldfish, bats and serpents or snakes on central panel.  Side panels with flowers, phoenixes and other small rodents.  Native provincial hand woven cotton and silk.",73.5 cm,62.5 cm,"Purchased from Tongying Wu, 1997"
55-34-7,Oracle Bone,https://www.penn.museum/collections/object/356742,https://www.penn.museum/collections/assets/300/362261.jpg,On Display,Asia Galleries - On Display,Chinese,China | Henan | Anyang | Xiaotun,,Shang Dynasty,Asian,Bone,Inscribed,"Fragment of bone with ancient Chinese characters inscribed on it.  Said to be one of a collection of oracle bones obtained by Langdon Warner in 1913-14 at the village of Xiaotun at the site of Anyang. Shang Dynasty kings used oracle bones as a form of divination to seek supernatural guidance about important political, social, and personal issues. Usually created from cattle shoulder blades and the underside of turtle shells, the bones were smoothed and then heated until they cracked. By interpreting the cracks, royal diviners believed they were receiving insight that allowed them to answer questions about the future. In many cases, a record of the reading was written on the bones. These texts provide invaluable information about early Chinese religion, politics, and elite life.",,2.2 cm,"Exchange with Peabody Museum, Harvard, 1955"
79-23-1K,Interleaf Pad,https://www.penn.museum/collections/object/61646,https://www.penn.museum/collections/assets/300/166856.jpg,,Collections Storage,Chinese,China | Beijing | Taimiao | Temple of Ancestors,,12/21/1648,Asian,Silk | Gold Thread,Woven | Brocaded,Small rectangular cloth pad of yellow silk brocade with floral motif in gold thread.  One of five pads to be placed between the jade pages of 79-23-1A-J.,,12.8 cm,"Gift of Smedley D. Butler, Jr., Thomas R. Butler, Edith M. P. Wehle and Philippa Wehle Chill, 1979"
79-23-1N,Interleaf Pad,https://www.penn.museum/collections/object/320081,https://www.penn.museum/collections/assets/300/166856.jpg,,Collections Storage,Chinese,China | Beijing | Taimiao | Temple of Ancestors,,12/21/1648,Asian,Silk | Gold Thread,Woven | Brocaded,Small rectangular cloth pad of yellow silk brocade with floral motif in gold thread.  One of five pads to be placed between the jade pages of 79-23-1A-J.,,12.8 cm,"Gift of Smedley D. Butler, Jr., Thomas R. Butler, Edith M. P. Wehle and Philippa Wehle Chill, 1979"
79-23-1M,Interleaf Pad,https://www.penn.museum/collections/object/272875,https://www.penn.museum/collections/assets/300/166856.jpg,,Collections Storage,Chinese,China | Beijing | Taimiao | Temple of Ancestors,,12/21/1648,Asian,Silk | Gold Thread,Woven | Brocaded,Small rectangular cloth pad of yellow silk brocade with floral motif in gold thread.  One of five pads to be placed between the jade pages of 79-23-1A-J.,,12.8 cm,"Gift of Smedley D. Butler, Jr., Thomas R. Butler, Edith M. P. Wehle and Philippa Wehle Chill, 1979"
79-23-1O,Interleaf Pad,https://www.penn.museum/collections/object/123394,https://www.penn.museum/collections/assets/300/166856.jpg,,Collections Storage,Chinese,China | Beijing | Taimiao | Temple of Ancestors,,12/21/1648,Asian,Silk | Gold Thread,Woven | Brocaded,Small rectangular cloth pad of yellow silk brocade with floral motif in gold thread.  One of five pads to be placed between the jade pages of 79-23-1A-J.,,12.8 cm,"Gift of Smedley D. Butler, Jr., Thomas R. Butler, Edith M. P. Wehle and Philippa Wehle Chill, 1979"
