Description,Object ID
无描述信息,1
无描述信息,4
无描述信息,5
无描述信息,6
托马斯·奇彭代尔颇具影响力的家具设计著作《绅士与细木工指南》（伦敦，1754年）触及了英国及殖民地对中国装饰日益增长的兴趣。一百多年后，奇彭代尔的家具造型再次受到追捧，这张蒂芙尼工作室的长凳便是一例。直角、桌腿上的镂空图案以及桌腿和座椅扶手之间的格子状支架均借鉴了奇彭代尔的设计。与十八世纪的蒂芙尼一样，蒂芙尼也从亚洲艺术中汲取灵感，使得这张桌子不仅因其唤起殖民时代的回忆，也因其对中国传统艺术的致敬而备受青睐。,8
无描述信息,9
无描述信息,10
无描述信息,11
无描述信息,12
中国外销瓷器曾是十八世纪高档住宅必不可少的奢侈品之一。直到1784年中美直接贸易开始之前，中国瓷器一直经由欧洲传入殖民地。这只碗由纽约的弗普兰克家族传承下来。,14
无描述信息,17
无描述信息,18
无描述信息,19
这件物品属于一套大型餐具（编号10.149.1-.248），上面饰有汤利家族的盾徽。这套餐具可能由马里兰州安纳波利斯的法官塞缪尔·蔡斯（Samuel Chase，1741-1811）订购，上面绘有蔡斯姑母玛格丽特·汤利（Margaret Townley）的珐琅彩绘盾徽。,28
无描述信息,64
无描述信息,65
这件物品属于一套大型餐具（编号10.149.1-.248），上面饰有汤利家族的盾徽。这套餐具可能由马里兰州安纳波利斯的法官塞缪尔·蔡斯（Samuel Chase，1741-1811）订购，上面绘有蔡斯姑母玛格丽特·汤利（Margaret Townley）的珐琅彩绘盾徽。,68
无描述信息,103
这款独特的花瓶融合了传统枝形花盆（用于盛放较大的花枝）宽大稳固的底座和单花托细长的颈部。花盆的盆身能够承托土壤，为球茎的发芽提供温暖湿润的环境；细长的颈部和扇形底部的五个开口则将初生的球茎向上向外推挤，形成独特而美丽的花卉造型。球茎花盆很少像这款花瓶一样带有颈部元素；更常见的是，它们顶部平坦，并有多个开口，用于盛放球茎。,104
这件橱柜是其制作者查尔斯·蒂施（Charles Tisch）于1889年赠予大都会博物馆的礼物。他在赠礼中写道：“这件家具在1884/1885年新奥尔良博览会上荣获一等奖。这是我亲手制作的纯正美国制造，我认为它值得在博物馆中占有一席之地。” 虽然这件橱柜可能产自美国本土，但它借鉴了世界各地的设计元素。蒂施是一位居住在纽约的德国移民橱柜工匠，他的橱柜融合了日式镂空工艺、受东湖风格启发的纺锤、唯美主义运动的镶嵌图案以及古典爱奥尼柱式。其不对称的设计和大小不一的隔间，令人联想到中国古代用于展示陶瓷的壁龛。,105
无描述信息,106
无描述信息,107
