object_id,title,link,image,object_type,provenience,creator,date_made,materials,description
1,婚礼腰带,https://www.penn.museum/collections/object/269848,https://www.penn.museum/collections/assets/300/601637.jpg,未知,中国 |贵州省|台江县|石洞镇|塘龙村,吴桐英的母亲,1978-1985,丝绸,腰带。婚礼服装的一部分。一条绣花布带，由粉色、红色、蓝色、白色、橙色和绿色的当地丝绸制成。编织几何图案。两端饰有流苏。由吴托尼英的母亲制作。
2,裤子,https://www.penn.museum/collections/object/215667,https://www.penn.museum/collections/assets/300/600714.jpg,未知,中国 |贵州省|台江县|石洞镇|塘龙村,吴同英,1978-1985,棉布,搭配婚礼服装的裤子。靛蓝染色。硬挺、皮革般光泽的布料。靛蓝棉质腰带。
3,连环画,https://www.penn.museum/collections/object/156199,https://www.penn.museum/collections/assets/300/46347.jpg,未知,中国 |西藏 |云南|德格|锡基安,未知,15世纪 - 1951年,纸张 | 墨水,一幅用粗纹土纸木版画制成的漫画。可能印刷于德格。画中为莲花宝座上的一位高僧转世。
4,婚礼夹克,https://www.penn.museum/collections/object/93862,https://www.penn.museum/collections/assets/300/600890.jpg,未知,中国 |贵州省|年轻江县|石洞镇|塘龙村,吴同英,1978-1985,棉 | 丝绸,苗族纺织艺术家吴同英制作并穿着的婚礼上衣。这些上衣通常在婚礼上穿着，后来也用于特殊场合。黑色棉布，领口和肩部饰有精美的刺绣条纹。颜色鲜艳，尤其是红色。绣有人物、蛇、蝙蝠、大象和其他动物的图案。布料挺括。由当地省份生产的棉布和丝绸制成。
5,婚礼围裙,https://www.penn.museum/collections/object/257062,https://www.penn.museum/collections/assets/300/600715.jpg,未知,中国 |贵州省|年轻江县|石洞镇|塘龙村,吴同英,1978-1985,棉 | 丝绸,苗族纺织艺人吴同英制作并穿着的婚礼围裙或裙子。这些围裙通常在婚礼上穿着，后来也用于特殊场合。长方形围裙由四条布条缝制而成：上层为靛蓝色硬质布料；中间为带穗的白色刺绣棉布；两侧为蓝色丝绸刺绣。色彩鲜艳，红色点缀较多。中间绣有狗/狮子、人物、蝴蝶、半人半蛇、金鱼、蝙蝠和蛇等图案。两侧则绣有花卉、凤凰和其他小型啮齿动物。采用当地棉丝手工编织而成。
6,甲骨,https://www.penn.museum/collections/object/356742,https://www.penn.museum/collections/assets/300/362261.jpg,展出,中国 |河南|安阳|小屯,未知,商朝,骨,一块刻有古汉字的骨片。据说是朗登·华纳于1913-14年在安阳遗址小屯村发现的一批甲骨文之一。商朝国王使用甲骨文进行占卜，寻求关于重要政治、社会和个人问题的超自然指引。甲骨文通常由牛肩胛骨和龟甲背面制成，经过打磨后加热至龟裂。皇家占卜师相信，通过解读裂纹，他们获得了能够解答未来问题的洞察力。在许多情况下，占卜记录会被记录在甲骨文上。这些文本为了解早期中国宗教、政治和精英生活提供了宝贵的信息。
7,隔页衬垫,https://www.penn.museum/collections/object/61646,https://www.penn.museum/collections/assets/300/166856.jpg,未知,中国 | 北京 | 太庙 | 祖庙,未知,1648年12月21日,丝绸 | 金线,黄色丝绸锦缎小长方形布垫，饰以金线花卉图案。本品为五块布垫之一，夹于79-23-1A-J的玉页之间。
8,隔页衬垫,https://www.penn.museum/collections/object/320081,https://www.penn.museum/collections/assets/300/166856.jpg,未知,中国 | 北京 | 太庙 | 祖庙,未知,1648年12月21日,丝绸 | 金线,黄色丝绸锦缎小长方形布垫，饰以金线花卉图案。本品为五块布垫之一，夹于79-23-1A-J的玉页之间。
9,隔页衬垫,https://www.penn.museum/collections/object/272875,https://www.penn.museum/collections/assets/300/166856.jpg,未知,中国 | 北京 | 太庙 | 祖庙,未知,1648年12月21日,丝绸 | 金线,黄色丝绸锦缎小长方形布垫，饰以金线花卉图案。本品为五块布垫之一，夹于79-23-1A-J的玉页之间。
10,隔页衬垫,https://www.penn.museum/collections/object/123394,https://www.penn.museum/collections/assets/300/166856.jpg,未知,中国 | 北京 | 太庙 | 祖庙,未知,1648年12月21日,丝绸 | 金线,黄色丝绸锦缎小长方形布垫，饰以金线花卉图案。本品为五块布垫之一，夹于79-23-1A-J的玉页之间。
