博物馆博物编号,文物详细信息,文物名称,时间,朝代,出处,详情页地址,图片url
1,中国，江西省，景德镇窑，明代（1368-1644年），正德年款（1505-21年）。瓷胎，单色黄釉；总尺寸：8 x 18.9厘米（3 1/8 x 7/16英寸）。,黄釉碗,1505–21,中国 - 明朝,(凯斯利夫妇）（?-2011 年）；南希-F.和约瑟夫-P.-凯斯利，克利夫兰，俄亥俄州，赠予克利夫兰艺术博物馆（2011-2020 年）；克利夫兰艺术博物馆，克利夫兰，俄亥俄州（2020 年起）,https://clevelandart.org/art/2020.180,https://openaccess-cdn.clevelandart.org/2020.180/2020.180_web.jpg
2,中国，江西省，景德镇窑，明代（1368-1644）或清代（1644-1911）。瓷器，五彩珐琅；总尺寸：36.8 x 23.8 厘米（14 1/2 x 9 3/8 英寸）。,棒槌形罐及盖,1600–1650,中国 - 明朝,(1998-2011年）；南希-F.和约瑟夫-P.-凯斯利，克里夫兰，俄亥俄州，赠送给克里夫兰艺术博物馆（2011-2020年）；克里夫兰艺术博物馆，克里夫兰，俄亥俄州（2020年起,https://clevelandart.org/art/2020.179,https://openaccess-cdn.clevelandart.org/2020.179/2020.179_web.jpg
3,瓷器，浅蓝白色（青白）釉；总尺寸：4.5 x 18 厘米（1 3/4 x 7 1/16 英寸）。克利夫兰艺术博物馆，南希-F-和约瑟夫-P-凯斯利收藏赠品 2020.183,刻花纹盘,1100 年代至 1200 年代,中国 - 宋朝,"(K.Y. Fine Art, Hong Kong, 卖给 Joseph P. Keithley夫妇) (? -2010); Nancy F. and Joseph P. Keithley, cleveland, oh, 赠送给克利夫兰艺术博物馆 (2010-2020); 克利夫兰艺术博物馆, cleveland, oh (2020-)",https://clevelandart.org/art/2020.183,https://openaccess-cdn.clevelandart.org/2020.183/2020.183_web.jpg
4,中国，南宋（1127-1279 年）。青白瓷器；总尺寸：15 x 13 厘米（5.7/8 x 5.1/8 英寸）。,四系罐,960–1279,中国 - 宋朝,"(K.Y. Fine Art, Hong Kong, 卖给 Joseph P. Keithley夫妇) (? -2010); Nancy F. and Joseph P. Keithley, cleveland, oh, 赠送给克利夫兰艺术博物馆 (2010-2020); 克利夫兰艺术博物馆, cleveland, oh (2020-)",https://clevelandart.org/art/2020.184,https://openaccess-cdn.clevelandart.org/2020.184/2020.184_web.jpg
5,中国，江西省，景德镇窑，明代（1368-1644）。瓷器，甜白釉；总尺寸：13.9 x 16.4 厘米（5 1/2 x 6 7/16 英寸）。,白釉暗刻罐,15 世纪-16 世纪,中国 - 宋朝,"(K.Y. Fine Art, Hong Kong, 卖给 Joseph P. Keithley夫妇) (? -2010); Nancy F. and Joseph P. Keithley, cleveland, oh, 赠送给克利夫兰艺术博物馆 (2010-2020); 克利夫兰艺术博物馆, cleveland, oh (2020-)",https://clevelandart.org/art/2020.185,https://openaccess-cdn.clevelandart.org/2020.185/2020.185_web.jpg
6,中国，河南省，巩县窑，五代（907-60）。白陶，象牙白釉；总尺寸：4.7 x 18.5 厘米（1 7/8 x 7 5/16 英寸）。,定窑邢系璧足碗,907–60,中国 - 五个朝代,"(K.Y. Fine Art, Hong Kong, 卖给 Joseph P. Keithley夫妇) (? -2010); Nancy F. and Joseph P. Keithley, cleveland, oh, 赠送给克利夫兰艺术博物馆 (2010-2020); 克利夫兰艺术博物馆, cleveland, oh (2020-)",https://clevelandart.org/art/2020.186,https://openaccess-cdn.clevelandart.org/2020.186/2020.186_web.jpg
7,中国，南宋（1127-1279 年）至元代（1279-1368 年）。炻器，浅绿色（青瓷）釉；总尺寸：6.6 x 15.5 厘米（2.5/8 x 6.1/8 英寸）。,刻莲纹碗,1100-1300 年代,中国 - 宋朝,"(K.Y. Fine Art, Hong Kong, 卖给 Joseph P. Keithley夫妇) (? -2010); Nancy F. and Joseph P. Keithley, cleveland, oh, 赠送给克利夫兰艺术博物馆 (2010-2020); 克利夫兰艺术博物馆, cleveland, oh (2020-)",https://clevelandart.org/art/2020.181,https://openaccess-cdn.clevelandart.org/2020.181/2020.181_web.jpg
8,刻花碗，1100-1200 年代。瓷器，浅蓝白色（青白）釉；总尺寸：6.5 x 17.2 厘米（2.9/16 x 6.3/4 英寸）。,刻纹碗,1100 年代至 1200 年代,中国 - 宋朝,"(K.Y. Fine Art, Hong Kong, 卖给 Joseph P. Keithley夫妇) (? -2010); Nancy F. and Joseph P. Keithley, cleveland, oh, 赠送给克利夫兰艺术博物馆 (2010-2020); 克利夫兰艺术博物馆, cleveland, oh (2020-)",https://clevelandart.org/art/2020.182,https://openaccess-cdn.clevelandart.org/2020.182/2020.182_web.jpg
9,葡萄藤，1700-1800 年代。中国，清朝（1644-1911 年）。挂轴；纸上墨水；总尺寸：113 x 40.5 厘米（44 1/2 x 15/16 英寸）。,《葡萄藤》,1700-1800 年代,亚洲 - 挂轴,乔治-冈德三世 [1937-2013]，遗赠给克利夫兰艺术博物馆（?-2015）；克利夫兰艺术博物馆，克利夫兰，俄亥俄州（2015-）,https://clevelandart.org/art/2015.476,https://openaccess-cdn.clevelandart.org/2015.476/2015.476_web.jpg
10,黑釉茶碗，刻有 "供御 "字样，1100-1200 年代。中国，福建省，南宋（1127-1279 年）。,刻“供御”黑釉茶碗,1100 年代至 1200 年代,中国 - 宋朝,Grace Chu家族，香港（1970-2008年）；（K.Y. Fine Art，香港，出售给Joseph P. Keithley夫妇）（2008年）；Nancy F. and Joseph P. Keithley，克利夫兰，哦，赠与克利夫兰艺术博物馆（2008-2020年）；克利夫兰艺术博物馆，克利夫兰，哦，（2020年起）,https://clevelandart.org/art/2020.175,https://openaccess-cdn.clevelandart.org/2020.175/2020.175_web.jpg
11,中国，福建省，南宋（1127-1279 年）。炻器，施不透明深棕色釉，建窑；总尺寸：5.3 x 14 厘米（2.1/16 x 5 1/2 英寸）。,黑釉茶碗,1100 年代至 1200 年代,中国 - 宋朝,Grace Chu家族，香港（1970-2008年）；（K.Y. Fine Art，香港，出售给Joseph P. Keithley夫妇）（2008年）；Nancy F. and Joseph P. Keithley，克利夫兰，哦，赠与克利夫兰艺术博物馆（2008-2020年）；克利夫兰艺术博物馆，克利夫兰，哦，（2020年起）,https://clevelandart.org/art/2020.176,https://openaccess-cdn.clevelandart.org/2020.176/2020.176_web.jpg
12,玳瑁釉茶碗，1100-1200 年代。中国，江西省，南宋（1127-1279 年）。,玳瑁釉茶碗,1100 年代至 1200 年代,中国 - 宋朝,Grace Chu家族，香港（1970-2008年）；（K.Y. Fine Art，香港，出售给Joseph P. Keithley夫妇）（2008年）；Nancy F. and Joseph P. Keithley，克利夫兰，哦，赠与克利夫兰艺术博物馆（2008-2020年）；克利夫兰艺术博物馆，克利夫兰，哦，（2020年起）,https://clevelandart.org/art/2020.177,https://openaccess-cdn.clevelandart.org/2020.177/2020.177_web.jpg
13,一对猫头鹰形罐，公元前 206 年至公元前 9 年。中国，河南省，西汉时期（公元前 206 年至公元前 8 年）。琥珀棕色釉低烧陶器；总尺寸：19 x 13.8 x 11.8 厘米（7 1/2 x 5 7/16 x 4 5/8 英寸）。, 猫头鹰形罐（一对）,公元前206年至公元前9年,中国 - 汉朝,由伊夫-博南的父母购买，后裔为伊夫-博南，意大利威尼斯（1970 年代-2008 年）；（K.Y. Fine Art，香港，出售给约瑟夫-P-凯斯利夫妇）（2008 年）；南希-F.和约瑟夫-P-凯斯利，克里夫兰，俄亥俄州，赠与克里夫兰艺术博物馆（2008-2020 年）；克里夫兰艺术博物馆，克里夫兰，俄亥俄州（2020 年起）,https://clevelandart.org/art/2020.178,https://openaccess-cdn.clevelandart.org/2020.178/2020.178_web.jpg
14,中国，江西省，景德镇窑，清朝（1644-1911），康熙年间（1661-1722）。瓷器，釉下钴蓝装饰；总尺寸：20.4 x 12.2 厘米（8 1/16 x 4 13/16 英寸）。,青花菱口瓶,1661–1722,中国 - 清朝,"(K.Y. Fine Art, Hong Kong, 卖给 Joseph P. Keithley夫妇) (?-2004); Nancy F. and Joseph P. Keithley, Cleveland, Oh, 赠送给克利夫兰艺术博物馆 (2004-2020); 克利夫兰艺术博物馆, Cleveland, Oh (2020-)",https://clevelandart.org/art/2020.174,https://openaccess-cdn.clevelandart.org/2020.174/2020.174_web.jpg
