Object ID,Predicate,Period
1,年代,1800–1900
2,年代,1800–1900
3,年代,1800–1900
4,年代,1825–45
5,年代,1857–90
6,年代,1800–1900
7,年代,1800–1900
8,年代,1916
9,年代,1790–1883
10,年代,1825–45
11,年代,1800–1900
12,年代,1770–1800
13,年代,1770–1800
14,年代,1736–95
15,年代,1736–95
16,年代,1736–95
17,年代,约1785-1790年
18,年代,1825–40
19,年代,1736–95
20,年代,1736–95
21,年代,1736–95
22,年代,1736–95
23,年代,1736–95
24,年代,1736–95
25,年代,1800–1900
26,年代,1800–1900
27,年代,1736–95
28,年代,1785–90
29,年代,1785–90
30,年代,1785–90
31,年代,1785–90
32,年代,1785–90
33,年代,1785–90
34,年代,1785–90
35,年代,1785–90
36,年代,1785–90
37,年代,1785–90
38,年代,1785–90
39,年代,1785–90
40,年代,1785–90
41,年代,1785–90
42,年代,1785–90
43,年代,1785–90
44,年代,1785–90
45,年代,1750–75
46,年代,1785–90
47,年代,1785–90
48,年代,1785–90
49,年代,1785–90
50,年代,1785–90
51,年代,1785–90
52,年代,1785–90
53,年代,1785–90
54,年代,1785–90
55,年代,1785–90
56,年代,1785–90
57,年代,1785–90
58,年代,1785–90
59,年代,1785–90
60,年代,1785–90
61,年代,1785–90
62,年代,1785–90
63,年代,1785–90
64,年代,1700–1800
65,年代,大约1860年至1866年
66,年代,1785–90
67,年代,1785–90
68,年代,1785–90
69,年代,1785–90
70,年代,1785–90
71,年代,1785–90
72,年代,1785–90
73,年代,1785–90
74,年代,1785–90
75,年代,1785–90
76,年代,1785–90
77,年代,1785–90
78,年代,1785–90
79,年代,1785–90
80,年代,1785–90
81,年代,1785–90
82,年代,1785–90
83,年代,1785–90
84,年代,1785–90
85,年代,1785–90
86,年代,1785–90
87,年代,1785–90
88,年代,1785–90
89,年代,1785–90
90,年代,1785–90
91,年代,1785–90
92,年代,1785–90
93,年代,1785–90
94,年代,1785–90
95,年代,1785–90
96,年代,1785–90
97,年代,1785–90
98,年代,1785–90
99,年代,1785–90
100,年代,1785–90
101,年代,1785–90
102,年代,1785–90
103,年代,1700-1900
104,年代,18世纪
105,年代,约1884年
106,年代,约1800年
107,年代,1800–1900
108,年代,1800–1900
109,年代,1800–1900
110,年代,1783
111,年代,1783
112,年代,大约1770年至1772年
113,年代,约1680年
114,年代,约1784年
115,年代,约1860年至1866年
116,年代,约1860年至1866年
117,年代,约1860年至1866年
118,年代,约1860年至1866年
119,年代,1800–1830
120,年代,1800–1815
121,年代,约1730年至1730年
122,年代,约1905年
123,年代,1785–90
124,年代,1785–90
125,年代,约1835年
126,年代,1785–1805
127,年代,1785–1815
128,年代,1785–1815
129,年代,1800–1900
130,年代,1800–1900
131,年代,1790–1810
132,年代,1790–1810
133,年代,1790–1810
134,年代,1790–1810
135,年代,1785–90
136,年代,1785–90
137,年代,1785–90
138,年代,1785–90
139,年代,1785–90
140,年代,1785–90
