Object ID,Predicate,Artist
1,作者,未知
2,作者,未知
3,作者,未知
4,作者,未知
5,作者,未知
6,作者,未知
7,作者,未知
8,作者,路易c.蒂芙尼
9,作者,未知
10,作者,未知
11,作者,未知
12,作者,未知
13,作者,未知
14,作者,未知
15,作者,未知
16,作者,未知
17,作者,未知
18,作者,未知
19,作者,未知
20,作者,未知
21,作者,未知
22,作者,未知
23,作者,未知
24,作者,未知
25,作者,未知
26,作者,未知
27,作者,未知
28,作者,未知
29,作者,未知
30,作者,未知
31,作者,未知
32,作者,未知
33,作者,未知
34,作者,未知
35,作者,未知
36,作者,未知
37,作者,未知
38,作者,未知
39,作者,未知
40,作者,未知
41,作者,未知
42,作者,未知
43,作者,未知
44,作者,未知
45,作者,未知
46,作者,未知
47,作者,未知
48,作者,未知
49,作者,未知
50,作者,未知
51,作者,未知
52,作者,未知
53,作者,未知
54,作者,未知
55,作者,未知
56,作者,未知
57,作者,未知
58,作者,未知
59,作者,未知
60,作者,未知
61,作者,未知
62,作者,未知
63,作者,未知
64,作者,未知
65,作者,未知
66,作者,未知
67,作者,未知
68,作者,未知
69,作者,未知
70,作者,未知
71,作者,未知
72,作者,未知
73,作者,未知
74,作者,未知
75,作者,未知
76,作者,未知
77,作者,未知
78,作者,未知
79,作者,未知
80,作者,未知
81,作者,未知
82,作者,未知
83,作者,未知
84,作者,未知
85,作者,未知
86,作者,未知
87,作者,未知
88,作者,未知
89,作者,未知
90,作者,未知
91,作者,未知
92,作者,未知
93,作者,未知
94,作者,未知
95,作者,未知
96,作者,未知
97,作者,未知
98,作者,未知
99,作者,未知
100,作者,未知
101,作者,未知
102,作者,未知
103,作者,未知
104,作者,未知
105,作者,查尔斯·蒂施
106,作者,未知
107,作者,未知
108,作者,未知
109,作者,未知
110,作者,小保罗敬畏。
111,作者,小保罗敬畏。
112,作者,美中制造厂
113,作者,未知
114,作者,未知
115,作者,未知
116,作者,未知
117,作者,未知
118,作者,未知
119,作者,未知
120,作者,未知
121,作者,未知
122,作者,弗洛伦斯·科勒
123,作者,未知
124,作者,未知
125,作者,未知
126,作者,未知
127,作者,未知
128,作者,未知
129,作者,未知
130,作者,未知
131,作者,未知
132,作者,未知
133,作者,未知
134,作者,未知
135,作者,未知
136,作者,未知
137,作者,未知
138,作者,未知
139,作者,未知
140,作者,未知
141,作者,未知
142,作者,未知
143,作者,未知
144,作者,未知
145,作者,未知
146,作者,未知
147,作者,未知
148,作者,未知
149,作者,未知
150,作者,未知
151,作者,未知
152,作者,未知
153,作者,未知
154,作者,未知
155,作者,未知
156,作者,未知
157,作者,未知
158,作者,未知
159,作者,未知
160,作者,切尔西陶瓷艺术作品
161,作者,未知
162,作者,未知
163,作者,未知
164,作者,未知
165,作者,未知
166,作者,未知
167,作者,未知
168,作者,未知
169,作者,未知
170,作者,未知
171,作者,未知
172,作者,未知
173,作者,未知
174,作者,未知
175,作者,未知
176,作者,未知
177,作者,未知
178,作者,未知
179,作者,未知
180,作者,未知
181,作者,未知
182,作者,未知
183,作者,未知
184,作者,未知
185,作者,美国艺术瓷器公司
186,作者,未知
187,作者,未知
188,作者,未知
189,作者,未知
190,作者,未知
191,作者,未知
192,作者,未知
193,作者,未知
194,作者,未知
195,作者,未知
196,作者,未知
197,作者,未知
198,作者,未知
199,作者,未知
200,作者,未知
201,作者,未知
202,作者,未知
203,作者,未知
204,作者,未知
205,作者,未知
206,作者,未知
207,作者,未知
208,作者,未知
209,作者,未知
210,作者,未知
211,作者,未知
212,作者,未知
213,作者,未知
214,作者,未知
215,作者,切尔西·科马奇艺术作品
216,作者,切尔西·科马奇艺术作品
217,作者,未知
218,作者,未知
219,作者,未知
220,作者,未知
221,作者,未知
222,作者,未知
223,作者,未知
224,作者,未知
225,作者,未知
226,作者,未知
227,作者,未知
228,作者,未知
229,作者,未知
230,作者,未知
231,作者,未知
232,作者,未知
233,作者,未知
234,作者,未知
235,作者,未知
236,作者,未知
237,作者,未知
238,作者,未知
239,作者,未知
240,作者,未知
241,作者,未知
242,作者,未知
243,作者,未知
244,作者,未知
245,作者,未知
246,作者,未知
247,作者,未知
248,作者,未知
249,作者,未知
250,作者,未知
251,作者,未知
252,作者,未知
253,作者,未知
254,作者,未知
255,作者,未知
256,作者,未知
257,作者,未知
258,作者,未知
259,作者,未知
260,作者,未知
261,作者,未知
262,作者,未知
263,作者,未知
264,作者,未知
265,作者,未知
266,作者,未知
267,作者,未知
268,作者,未知
269,作者,未知
270,作者,未知
271,作者,未知
272,作者,未知
273,作者,未知
274,作者,未知
275,作者,未知
276,作者,未知
277,作者,未知
278,作者,未知
279,作者,未知
280,作者,未知
281,作者,未知
282,作者,未知
283,作者,未知
284,作者,未知
285,作者,未知
286,作者,伊诺克·伍德父子公司
287,作者,伊诺克·伍德父子公司
288,作者,未知
289,作者,未知
290,作者,未知
291,作者,未知
292,作者,未知
293,作者,未知
294,作者,未知
295,作者,未知
296,作者,未知
297,作者,未知
298,作者,未知
299,作者,未知
300,作者,未知
301,作者,未知
302,作者,未知
303,作者,未知
304,作者,未知
305,作者,未知
306,作者,未知
307,作者,未知
308,作者,未知
309,作者,未知
310,作者,未知
311,作者,未知
312,作者,未知
313,作者,未知
314,作者,未知
315,作者,未知
316,作者,未知
317,作者,未知
318,作者,未知
319,作者,未知
320,作者,未知
321,作者,未知
322,作者,未知
323,作者,未知
324,作者,未知
325,作者,未知
326,作者,未知
327,作者,未知
328,作者,未知
329,作者,未知
330,作者,未知
331,作者,未知
332,作者,未知
333,作者,弗洛伦斯·科勒
334,作者,未知
335,作者,未知
336,作者,未知
337,作者,狂暴的约翰
338,作者,未知
339,作者,弗洛伦斯·科勒
340,作者,波士顿中国装饰厂
341,作者,格林伍德陶瓷公司
342,作者,联合瓷器厂
343,作者,达文波特
344,作者,未知
345,作者,未知
346,作者,未知
347,作者,未知
348,作者,未知
349,作者,未知
350,作者,未知
351,作者,未知
352,作者,未知
353,作者,未知
354,作者,萨顿鸭
355,作者,詹姆斯和拉尔夫爪子
356,作者,查尔斯·梅
357,作者,威廉·里奇韦公司。
358,作者,威廉·里奇韦公司。
359,作者,威廉·里奇韦公司。
360,作者,威廉·里奇韦公司。
361,作者,伊诺克·伍德父子公司
362,作者,伊诺克·伍德父子公司
363,作者,伊诺克·伍德父子公司
364,作者,伊诺克·伍德父子公司
365,作者,伊诺克·伍德父子公司
366,作者,伊诺克·伍德父子公司
367,作者,伊诺克·伍德父子公司
368,作者,未知
369,作者,未知
370,作者,未知
371,作者,未知
372,作者,未知
373,作者,未知
374,作者,未知
375,作者,未知
376,作者,未知
377,作者,未知
378,作者,未知
